         1395536 function calls (1390085 primitive calls) in 4.644 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      101    0.000    0.000    0.000    0.000 _internal.py:34(pending_deprecate)
       53    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      138    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_console_set_default_foreground}
       30    0.000    0.000    0.001    0.000 plyparser.py:55(_token_coord)
        1    0.000    0.000    4.648    4.648 engine.py:1(<module>)
    28/16    0.000    0.000    0.003    0.000 typing.py:337(__getitem__)
      194    0.000    0.000    0.000    0.000 yacc.py:248(__setitem__)
        6    0.000    0.000    0.000    0.000 lex.py:477(_names_to_funcs)
      203    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.006    0.006 numerictypes.py:81(<module>)
        1    0.000    0.000    0.005    0.005 tokenize.py:21(<module>)
      185    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        3    0.000    0.000    0.001    0.000 tokenize.py:132(_all_string_prefixes)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       61    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
       44    0.000    0.000    0.001    0.000 _inspect.py:98(getargspec)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
       86    0.000    0.000    0.000    0.000 typing.py:319(__hash__)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
       51    0.000    0.000    0.001    0.000 _internal.py:840(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 yacc.py:2970(signature)
        2    0.000    0.000    0.004    0.002 function_base.py:1(<module>)
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.209    0.209 __init__.py:106(<module>)
       11    0.000    0.000    0.001    0.000 c_parser.py:375(_build_declarations)
       16    0.000    0.000    0.000    0.000 typing.py:209(_remove_dups_flatten)
      138    0.000    0.000    0.000    0.000 libtcodpy.py:449(key_p)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:3(<module>)
       80    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       25    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 lex.py:890(<listcomp>)
      132    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      112    0.000    0.000    0.001    0.000 enum.py:526(__new__)
       20    0.000    0.000    0.003    0.000 typing.py:618(__getitem__)
       41    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
       44    0.000    0.000    0.002    0.000 core.py:146(get_object_signature)
        1    0.000    0.000    0.007    0.007 typing.py:19(<module>)
    39/25    0.000    0.000    0.001    0.000 model.py:81(__hash__)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
       26    0.000    0.000    0.002    0.000 core.py:6572(getdoc)
       16    0.000    0.000    0.002    0.000 typing.py:757(__getitem_inner__)
       58    0.000    0.000    0.002    0.000 c_lexer.py:76(token)
       78    0.000    0.000    0.000    0.000 _internal.py:851(<genexpr>)
       53    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
      131    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        1    0.000    0.000    0.002    0.002 _type_aliases.py:24(<module>)
       62    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
       60    0.000    0.000    0.000    0.000 yacc.py:268(lexpos)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       54    0.000    0.000    0.137    0.003 re.py:232(compile)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
     10/3    0.000    0.000    0.000    0.000 cparser.py:553(_get_type_and_quals)
      107    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
